nv,255,255,255,0
50,16,0,2
45,31,0,7
40,58,0,14
35,112,0,29
30,195,1,49
27,226,61,50
24,246,118,57
22,252,159,70
20,255,179,75
18,255,194,97
16,255,201,107
14,255,216,129
12,255,231,150
10,255,238,161
8,227,236,171
6,207,235,177
4,182,227,183
2,145,213,187
0,127,206,188
-2,97,195,193
-4,55,174,196
-6,29,146,193
-8,49,117,173
-10,67,88,151
-15,9,35,118
-20,2,21,79
-30,1,15,57
-40,1,8,30
